year,end_year,code,disaster_type,total_affected,total_deaths,total_damage_000USD,insured_losses_000USD,magnitude_scale,magnitude_value,population,unemployment,sewerage_system_coverage,percentage_of_woman_30_to_54,gdp_cap,poor_sanitation_deaths_per_100thousand,basic_water_access,garbage_collection_access,sewerage_or_tank_access,max_2_per_dorm_percent,location,day,month,end_day,end_month,disaster_name,disaster_key,gdp_anual_growth,GDP_deflator_index,gdp,ipca_index
2000,2000,AL,Landslide,37612.375777961926,15.781416410333675,19726.770512917097,0,NA,NA,2897.881,NA,NA,NA,6.31,NA,NA,NA,NA,NA,Alagoas,30,07,17,08,NA,2000-0466,1.9439823983,NA,NA,NA
2000,2000,ES,Flood,92.00228161268909,0.5980148304824792,0,0,Km2,578300,3194.255,NA,NA,NA,16.47,NA,NA,NA,NA,NA,Espirito Santo,17,12,26,12,NA,2000-0809,8.9587315681,NA,NA,NA
2000,2000,MG,Flood,17977.72570498155,6.677440976136005,0,0,Km2,350000,18178.042,NA,NA,NA,13.96,NA,NA,NA,NA,NA,Minas Gerais,01,01,06,01,NA,2000-0019,5.1114478946,NA,NA,NA
2000,2000,MG,Flood,523.5716432317677,3.40321568100649,0,0,Km2,578300,18178.042,NA,NA,NA,13.96,NA,NA,NA,NA,NA,Minas Gerais,17,12,26,12,NA,2000-0809,5.1114478946,NA,NA,NA
2000,2000,PE,Landslide,105387.62422203808,44.21858358966633,55273.22948708291,0,NA,NA,8119.689,NA,NA,NA,8.11,NA,NA,NA,NA,NA,Pernambuco,30,07,17,08,NA,2000-0466,4.3287522279,NA,NA,NA
2000,2000,PE,Flood,1e4,3.0000000000000004,0,0,Km2,3000,8119.689,NA,NA,NA,8.11,NA,NA,NA,NA,NA,Pernambuco,16,09,18,09,NA,2000-0590,4.3287522279,NA,NA,NA
2000,2000,RJ,Flood,14639.245623899857,5.437434088877089,0,0,Km2,350000,14802.363,NA,NA,NA,21.36,NA,NA,NA,NA,NA,Rio de Janeiro,01,01,06,01,NA,2000-0019,2.5746961428,NA,NA,NA
2000,2000,RS,Flood,5e3,6,0,0,Km2,10250,10266.739,NA,NA,NA,19.09,NA,NA,NA,NA,NA,Rio Grande do Sul,12,10,15,10,NA,2000-0666,4.3087215203,NA,NA,NA
2000,2000,RS,Flood,295.70695286443254,1.9220951936188115,0,0,Km2,578300,10266.739,NA,NA,NA,19.09,NA,NA,NA,NA,NA,Rio Grande do Sul,17,12,26,12,NA,2000-0809,4.3087215203,NA,NA,NA
2000,2000,RS,Extreme temperature,0,7,0,0,Ã¸C,-5,10266.739,NA,NA,NA,19.09,NA,NA,NA,NA,NA,Rio Grande do Sul,NA,07,NA,07,NA,2000-0456,4.3087215203,NA,NA,NA
2000,2000,SP,Flood,1088.7191222911106,7.076674294892218,0,0,Km2,578300,37799.568,NA,NA,NA,23.71,NA,NA,NA,NA,NA,Sao Paulo,17,12,26,12,NA,2000-0809,4.2628419828,NA,NA,NA
2000,2000,SP,Flood,37383.0286711186,13.885124934986905,0,0,Km2,350000,37799.568,NA,NA,NA,23.71,NA,NA,NA,NA,NA,Sao Paulo,01,01,06,01,NA,2000-0019,4.2628419828,NA,NA,NA
2001,2001,ES,Flood,764.4657093472265,1.7987428455228858,0,0,Km2,45210,3244.851,NA,45.43,16.26,16.24,NA,NA,NA,NA,NA,Espirito Santo,19,11,23,11,NA,2001-0723,0.3301667574,NA,NA,NA
2001,2001,MG,Flood,4335.534290652774,10.201257154477116,0,0,Km2,45210,18402.608,NA,70.66,16.64,13.77,NA,NA,NA,NA,NA,Minas Gerais,19,11,23,11,NA,2001-0723,-0.1159895625,NA,NA,NA
2001,2001,MT,Flood,4000.0000000000005,23,0,0,Km2,5180,2611.854,NA,7.36,15.27,13.5,NA,NA,NA,NA,NA,Mato Grosso,25,04,26,04,NA,2001-0213,6.7431589797000004,NA,NA,NA
2001,2001,PE,Drought,1e6,0,0,0,Km2,NA,8212.595,NA,28.57,15.29,8.15,NA,NA,NA,NA,NA,Pernambuco,NA,06,NA,NA,NA,2001-9394,1.6397355065,NA,NA,NA
2001,2001,PR,Storm,519.75946985404,1.9873156200301532,0,0,Kph,NA,9786.066,NA,42.31,17.02,16.15,NA,NA,NA,NA,NA,Parana,29,09,04,10,NA,2001-0544,3.8265438065,NA,NA,NA
2001,2001,RJ,Flood,1946,50,45e3,0,Km2,9990,14954.176,NA,56.24,18.63,21.29,NA,NA,NA,NA,NA,Rio de Janeiro,24,12,25,12,NA,2001-0696,0.8737446919,NA,NA,NA
2001,2001,RS,Storm,550.5606140844768,2.105084700911235,0,0,Kph,NA,10365.992,NA,11.33,17.6,19.26,NA,NA,NA,NA,NA,Rio Grande do Sul,29,09,04,10,NA,2001-0544,2.0202148088,NA,NA,NA
2001,2001,SC,Storm,294.24035240755325,1.1250366415582918,0,0,Kph,NA,5539.977,NA,11.66,17.35,20.88,NA,NA,NA,NA,NA,Santa Catarina,29,09,04,10,NA,2001-0544,3.1917973761,NA,NA,NA
