year,location,ISO,end_year,disaster_type,total_affected,total_deaths,total_damage_000USD,insured_losses_000USD,day,month,end_day,end_month,magnitude_value,magnitude_scale,disaster_name,disaster_key,sanitation_percentage,population,GDP,unemployment,sewerage_system_coverage,percentage_of_woman_30_to_54
2000,Alagoas,AL,2000,Landslide,37612.375777961926,15.781416410333675,19726.770512917097,0,30,07,17,08,NA,NA,NA,2000-0466,NA,2897.881,1.9439823983,NA,NA,NA
2000,Espirito Santo,ES,2000,Flood,92.00228161268909,0.5980148304824792,0,0,17,12,26,12,578300,Km2,NA,2000-0809,NA,3194.255,8.9587315681,NA,NA,NA
2000,Minas Gerais,MG,2000,Flood,17977.72570498155,6.677440976136005,0,0,01,01,06,01,350000,Km2,NA,2000-0019,NA,18178.042,5.1114478946,NA,NA,NA
2000,Minas Gerais,MG,2000,Flood,523.5716432317677,3.40321568100649,0,0,17,12,26,12,578300,Km2,NA,2000-0809,NA,18178.042,5.1114478946,NA,NA,NA
2000,Pernambuco,PE,2000,Landslide,105387.62422203808,44.21858358966633,55273.22948708291,0,30,07,17,08,NA,NA,NA,2000-0466,NA,8119.689,4.3287522279,NA,NA,NA
2000,Pernambuco,PE,2000,Flood,1e4,3.0000000000000004,0,0,16,09,18,09,3000,Km2,NA,2000-0590,NA,8119.689,4.3287522279,NA,NA,NA
2000,Rio de Janeiro,RJ,2000,Flood,14639.245623899857,5.437434088877089,0,0,01,01,06,01,350000,Km2,NA,2000-0019,NA,14802.363,2.5746961428,NA,NA,NA
2000,Rio Grande do Sul,RS,2000,Flood,295.70695286443254,1.9220951936188115,0,0,17,12,26,12,578300,Km2,NA,2000-0809,NA,10266.739,4.3087215203,NA,NA,NA
2000,Rio Grande do Sul,RS,2000,Extreme temperature ,0,7,0,0,,07,,07,-5,Ã¸C,NA,2000-0456,NA,10266.739,4.3087215203,NA,NA,NA
2000,Rio Grande do Sul,RS,2000,Flood,5e3,6,0,0,12,10,15,10,10250,Km2,NA,2000-0666,NA,10266.739,4.3087215203,NA,NA,NA
2000,Sao Paulo,SP,2000,Flood,37383.0286711186,13.885124934986905,0,0,01,01,06,01,350000,Km2,NA,2000-0019,NA,37799.568,4.2628419828,NA,NA,NA
2000,Sao Paulo,SP,2000,Flood,1088.7191222911106,7.076674294892218,0,0,17,12,26,12,578300,Km2,NA,2000-0809,NA,37799.568,4.2628419828,NA,NA,NA
2001,Espirito Santo,ES,2001,Flood,764.4657093472265,1.7987428455228858,0,0,19,11,23,11,45210,Km2,NA,2001-0723,0.6015809165,3244.851,0.3301667574,NA,45.43,16.26
2001,Mato Grosso,MT,2001,Flood,4000.0000000000005,23,0,0,25,04,26,04,5180,Km2,NA,2001-0213,0.3716897937,2611.854,6.7431589797000004,NA,7.36,15.27
2001,Minas Gerais,MG,2001,Flood,4335.534290652774,10.201257154477116,0,0,19,11,23,11,45210,Km2,NA,2001-0723,0.6998293751,18402.608,-0.1159895625,NA,70.66,16.64
2001,Parana,PR,2001,Storm,519.75946985404,1.9873156200301532,0,0,29,09,04,10,NA,Kph,NA,2001-0544,0.5707145823,9786.066,3.8265438065,NA,42.31,17.02
2001,Pernambuco,PE,2001,Drought,1e6,0,0,0,,06,,,NA,Km2,NA,2001-9394,0.3836018412,8212.595,1.6397355065,NA,28.57,15.29
2001,Rio de Janeiro,RJ,2001,Flood,1946,50,45e3,0,24,12,25,12,9990,Km2,NA,2001-0696,0.8469210416,14954.176,0.8737446919,NA,56.24,18.63
2001,Rio Grande do Sul,RS,2001,Storm,550.5606140844768,2.105084700911235,0,0,29,09,04,10,NA,Kph,NA,2001-0544,0.7087705488,10365.992,2.0202148088,NA,11.33,17.6
2001,Santa Catarina,SC,2001,Storm,294.24035240755325,1.1250366415582918,0,0,29,09,04,10,NA,Kph,NA,2001-0544,0.7930666208,5539.977,3.1917973761,NA,11.66,17.35
2001,Sao Paulo,SP,2001,Storm,2035.4395636539298,7.78256303750032,0,0,29,09,04,10,NA,Kph,NA,2001-0544,0.894851404,38323.392,0.38395454,NA,84.14,17.84
2002,Minas Gerais,MG,2002,Flood,1500,17,0,0,03,02,05,02,2250,Km2,NA,2002-0082,0.7144950692,18620.721,3.7311496399,NA,72.17,16.72
2002,Minas Gerais,MG,2002,Drought,0,0,0,0,,09,,,NA,Km2,NA,2002-9605,0.7144950692,18620.721,3.7311496399,NA,72.17,16.72
